radians	I
0.619856	11.322160
0.621126	11.007510
0.622397	10.892060
0.623667	11.049750
0.624938	10.963070
0.626209	10.813340
0.627479	10.695300
0.628750	10.563790
0.630020	10.510670
0.631291	10.453520
0.632562	10.571380
0.633832	10.414270
0.635103	10.335030
0.636373	10.308630
0.637644	10.426470
0.638915	10.384030
0.640185	10.500490
0.641456	10.487990
0.642726	10.567860
0.643997	10.406500
0.645267	10.290670
0.646538	10.380260
0.647809	10.256510
0.649079	10.378170
0.650350	10.031600
0.651620	10.084190
0.652891	10.158420
0.654161	9.921458
0.655432	9.784693
0.656703	9.987455
0.657973	10.293000
0.659244	10.230850
0.660515	10.315320
0.661785	10.214100
0.663056	10.301290
0.664326	10.107890
0.665597	9.931916
0.666867	9.858596
0.668138	10.073660
0.669409	10.474340
0.670679	10.507670
0.671950	10.531720
0.673220	10.306570
0.674491	10.435370
0.675762	10.429960
0.677032	10.273000
0.678303	10.240480
0.679573	10.382430
0.680844	10.660450
0.682114	10.781450
0.683385	10.802150
0.684656	10.803650
0.685926	10.701500
0.687197	10.669310
0.688467	10.960700
0.689738	11.078720
0.691009	11.081920
0.692279	11.065100
0.693550	10.939890
0.694820	11.110610
0.696091	11.115370
0.697361	11.138290
0.698632	11.098430
0.699903	11.403710
0.701173	11.599700
0.702444	11.548630
0.703714	11.690680
0.704985	11.736840
0.706256	11.924910
0.707526	11.978880
0.708797	12.017200
0.710067	11.857880
0.711338	11.976960
0.712608	11.990340
0.713879	11.792560
0.715150	11.566950
0.716420	11.623110
0.717691	11.828070
0.718962	11.672590
0.720232	11.402530
0.721503	11.248750
0.722773	11.284830
0.724044	11.362080
0.725314	11.248980
0.726585	11.025990
0.727856	10.988780
0.729126	11.052160
0.730397	10.882110
0.731667	10.835120
0.732938	10.589070
0.734209	10.798210
0.735479	10.813120
0.736750	10.829610
0.738020	10.679190
0.739291	10.689690
0.740561	10.718140
0.741832	10.712480
0.743103	10.727020
0.744373	10.976420
0.745644	11.040100
0.746914	10.942250
0.748185	10.954910
0.749456	11.111180
0.750726	11.322810
0.751997	11.139640
0.753267	11.134780
0.754538	11.264670
0.755808	11.273240
0.757079	11.402470
0.758350	11.400480
0.759620	11.365950
0.760891	11.007540
0.762161	10.851680
0.763432	10.864320
0.764703	11.055420
0.765973	11.258760
0.767244	11.298660
0.768514	11.275210
0.769785	11.492710
0.771056	11.655650
0.772326	11.698590
0.773597	11.611290
0.774867	11.726440
0.776138	12.019630
0.777409	12.056990
0.778679	11.924560
0.779950	11.623850
0.781220	11.461020
0.782491	11.268560
0.783761	11.313870
0.785032	11.507810
0.786303	11.181410
0.787573	11.066550
0.788844	11.121040
0.790114	11.069820
0.791385	11.136980
0.792656	11.265190
0.793926	11.472910
0.795197	11.459840
0.796467	11.469010
0.797738	11.266870
0.799009	11.149250
0.800279	10.859270
0.801550	11.081270
0.802820	11.483460
0.804091	11.443100
0.805361	11.472940
0.806632	11.676220
0.807903	11.600690
0.809173	11.477100
0.810444	11.481000
0.811714	11.672810
0.812985	11.942190
0.814256	11.950000
0.815526	12.191230
0.816797	12.341210
0.818067	12.267410
0.819338	12.293060
0.820608	12.365030
0.821879	12.263330
0.823150	12.176720
0.824420	12.115370
0.825691	12.049770
0.826961	12.027180
0.828232	11.844910
0.829502	11.829100
0.830773	11.776710
0.832044	11.837590
0.833314	11.795050
0.834585	11.702470
0.835856	12.022640
0.837126	12.122080
0.838397	12.217740
0.839667	12.421480
0.840938	12.363440
0.842208	12.199780
0.843479	12.150000
0.844750	12.190070
0.846020	12.211210
0.847291	12.381770
0.848561	12.381520
0.849832	12.463550
0.851102	12.380790
0.852373	12.210160
0.853644	12.187760
0.854914	12.226580
0.856185	12.345240
0.857456	12.504890
0.858726	12.765900
0.859997	13.021450
0.861267	13.087780
0.862538	13.027240
0.863808	12.733460
0.865079	12.702920
0.866350	12.677950
0.867620	12.696720
0.868891	12.900780
0.870161	12.933020
0.871432	12.948170
0.872702	13.039350
0.873973	12.962920
0.875244	12.670890
0.876514	12.547520
0.877785	12.631320
0.879055	12.698530
0.880326	12.505600
0.881597	12.505160
0.882867	12.410010
0.884138	12.099440
0.885408	11.896190
0.886679	11.835520
0.887950	11.690950
0.889220	11.653480
0.890491	11.600160
0.891761	11.674880
0.893032	11.652190
0.894303	11.978550
0.895573	12.149700
0.896844	12.264770
0.898114	12.155610
0.899385	12.256430
0.900655	12.535380
0.901926	12.683620
0.903197	12.708900
0.904467	12.683450
0.905738	13.061600
0.907008	13.045640
0.908279	12.675800
0.909550	12.592460
0.910820	12.551500
0.912091	12.686290
0.913361	12.709560
0.914632	12.387420
0.915902	12.243360
0.917173	12.126740
0.918444	12.290520
0.919714	12.458410
0.920985	12.329670
0.922255	12.303310
0.923526	12.695350
0.924797	12.746460
0.926067	12.950560
0.927338	13.046160
0.928608	13.204500
0.929879	13.301480
0.931150	13.505900
0.932420	13.652040
0.933691	13.613410
0.934961	13.438820
0.936232	13.484670
0.937502	13.615020
0.938773	13.506250
0.940044	13.259390
0.941314	13.204480
0.942585	13.268030
0.943855	13.173730
0.945126	13.267810
0.946397	13.338340
0.947667	13.502560
0.948938	13.564030
0.950208	13.683310
0.951479	13.664000
0.952750	13.782130
0.954020	13.943270
0.955291	13.886930
0.956561	13.826890
0.957832	13.862610
0.959102	13.831240
0.960373	13.769920
0.961644	13.536820
0.962914	13.321590
0.964185	13.425560
0.965455	13.368430
0.966726	13.412240
0.967997	13.460850
0.969267	13.315950
0.970538	13.365370
0.971808	13.681600
0.973079	13.944930
0.974350	14.082390
0.975620	14.025660
0.976891	14.308870
0.978161	14.292630
0.979432	14.268810
0.980702	14.225070
0.981973	14.137430
0.983244	14.072000
0.984514	14.108630
0.985785	13.884460
0.987055	13.743310
0.988326	13.837100
0.989596	13.846520
0.990867	13.781370
0.992138	13.519830
0.993408	13.631340
0.994679	13.685600
0.995949	13.666290
0.997220	13.479110
0.998491	13.798740
0.999761	13.560810
1.001032	13.643410
1.002302	13.654680
