radians	I
0.214538	4.618896
0.215809	3.133151
0.217080	1.486298
0.218350	1.089643
0.219621	0.936718
0.220891	1.523052
0.222162	2.871381
0.223432	1.158619
0.224703	0.869721
0.225974	0.694098
0.227244	1.734505
0.228515	2.302756
0.229786	2.985047
0.231056	3.223966
0.232327	3.924605
0.233597	4.541533
0.234868	5.189172
0.236138	5.193583
0.237409	5.437301
0.238680	5.961749
0.239950	6.135289
0.241221	6.117873
0.242491	6.449097
0.243762	6.349447
0.245032	6.241548
0.246303	4.438324
0.247574	4.567904
0.248844	5.403937
0.250115	5.941869
0.251385	6.601568
0.252656	6.842739
0.253927	7.662329
0.255197	7.835635
0.256468	7.552149
0.257738	7.553027
0.259009	7.436475
0.260279	7.717237
0.261550	7.625175
0.262821	7.496994
0.264091	6.752042
0.265362	7.026125
0.266632	7.067084
0.267903	6.143999
0.269174	5.777383
0.270444	5.888509
0.271715	6.195044
0.272985	6.572369
0.274256	6.649054
0.275527	7.209836
0.276797	7.565234
0.278068	7.392637
0.279338	7.721252
0.280609	8.084135
0.281880	8.277281
0.283150	9.411870
0.284421	9.796897
0.285691	9.886289
0.286962	9.661009
0.288233	9.773778
0.289503	10.224910
0.290774	10.464940
0.292044	10.666950
0.293315	10.065280
0.294585	10.091550
0.295856	10.118840
0.297127	9.341326
0.298397	9.351748
0.299668	9.155369
0.300938	9.580063
0.302209	9.462186
0.303480	8.827938
0.304750	8.457020
0.306021	8.774358
0.307291	8.492096
0.308562	8.364694
0.309832	8.195035
0.311103	8.286359
0.312374	8.735555
0.313644	9.071976
0.314915	8.545959
0.316185	8.395389
0.317456	8.274660
0.318727	8.737277
0.319997	8.509858
0.321268	8.925147
0.322538	9.467381
0.323809	9.290588
0.325080	9.448231
0.326350	9.801708
0.327621	9.280362
0.328891	9.117790
0.330162	9.568191
0.331432	9.958061
0.332703	9.993178
0.333974	9.357634
0.335244	9.475206
0.336515	8.830385
0.337785	8.430511
0.339056	8.527403
0.340326	7.966722
0.341597	7.633189
0.342868	8.029375
0.344138	8.102184
0.345409	7.904294
0.346680	7.795922
0.347950	7.766349
0.349221	7.770576
0.350491	7.719415
0.351762	7.824185
0.353032	7.780094
0.354303	8.184868
0.355574	8.607678
0.356844	8.939993
0.358115	8.939213
0.359385	8.795446
0.360656	8.748330
0.361926	8.804563
0.363197	9.018341
0.364468	8.587804
0.365738	8.597355
0.367009	8.760029
0.368279	8.670736
0.369550	8.584888
0.370821	8.808698
0.372091	8.934272
0.373362	9.149525
0.374632	8.727892
0.375903	8.578546
0.377174	8.695735
0.378444	8.864424
0.379715	8.853537
0.380985	8.653831
0.382256	8.279119
0.383526	8.732877
0.384797	8.697762
0.386068	8.468252
0.387338	8.497313
0.388609	8.808969
0.389879	9.130610
0.391150	9.526023
0.392421	9.548269
0.393691	9.006404
0.394962	9.261530
0.396232	9.423779
0.397503	9.623614
0.398774	9.688555
0.400044	9.643617
0.401315	9.800800
0.402585	10.006120
0.403856	9.702356
0.405127	9.601779
0.406397	9.818771
0.407668	9.699259
0.408938	9.833538
0.410209	9.570747
0.411479	9.838277
0.412750	9.764131
0.414021	9.328908
0.415291	9.314794
0.416562	8.971128
0.417832	8.664259
0.419103	8.360545
0.420373	8.379983
0.421644	8.247509
0.422915	8.195753
0.424185	8.105659
0.425456	8.101825
0.426727	8.196957
0.427997	8.334291
0.429268	8.456098
0.430538	8.404268
0.431809	8.555675
0.433079	9.028852
0.434350	9.172864
0.435621	8.874067
0.436891	8.606038
0.438162	8.856730
0.439432	9.151556
0.440703	9.039984
0.441973	9.301891
0.443244	9.464731
0.444515	9.798611
0.445785	10.189020
0.447056	10.076370
0.448326	10.228800
0.449597	10.371030
0.450868	10.408840
0.452138	10.329570
0.453409	9.894745
0.454679	9.707488
0.455950	9.640995
0.457220	9.305305
0.458491	8.940272
0.459762	8.647251
0.461032	8.587106
0.462303	8.343511
0.463573	8.486545
0.464844	8.556409
0.466115	8.500114
0.467385	8.399946
0.468656	8.337184
0.469926	8.281102
0.471197	8.273659
0.472468	8.763744
0.473738	8.991529
0.475009	9.150743
0.476279	9.126536
0.477550	9.319989
0.478820	9.535076
0.480091	9.837949
0.481362	10.019340
0.482632	10.288740
0.483903	10.405910
0.485173	10.448990
0.486444	10.525150
0.487715	10.343240
0.488985	10.237720
0.490256	9.972052
0.491526	9.874570
0.492797	9.540590
0.494068	9.397530
0.495338	9.294962
0.496609	8.954635
0.497879	9.016141
0.499150	9.237582
0.500421	9.491933
0.501691	9.336630
0.502962	9.462453
0.504232	9.456189
0.505503	9.662081
0.506773	9.699526
0.508044	9.824425
0.509315	9.846458
0.510585	9.883193
0.511856	9.713858
0.513126	9.587616
0.514397	9.568047
0.515668	9.453131
0.516938	9.204574
0.518209	9.295871
0.519479	9.401467
0.520750	9.496999
0.522020	9.308108
0.523291	9.435456
0.524562	9.555160
0.525832	9.641226
0.527103	9.629619
0.528373	9.846635
0.529644	10.017020
