time,original_time,x,y,Rwp,Vol,alpha,realVol,T,seq_num
1634407711.0063987,1634339743.9501219,55.62,64.0,2.6612506732,262.3890513672,1,262.3890513672,293.15,1
1634407713.739765,1634339743.9531693,56.169,64.0,3.1453808392,262.8243160225,1,262.8243160225,293.15,2
